2017-04-14 18:56:44,150 - root - INFO - Epoch:2, Episode:10, Steps Left:53607/5000/100000, Reward:-41.000000, fps:523.512181, Exploration:0.817264, Collision:[-85. -94. -61.], Reward Behavior:[ 34.  37.  23.   0.], Avg Loss:3.861974/100, Avg Q Value:0.589688/922 
2017-04-14 18:56:53,580 - root - INFO - Epoch:2, Episode:11, Steps Left:48607/5000/100000, Reward:-98.000000, fps:530.261783, Exploration:0.812764, Collision:[-122.  -91.  -79.], Reward Behavior:[ 21.  36.  31.   0.], Avg Loss:3.804666/100, Avg Q Value:0.582000/943 
2017-04-14 18:57:03,172 - root - INFO - Epoch:2, Episode:12, Steps Left:43607/5000/100000, Reward:-160.000000, fps:521.320332, Exploration:0.808264, Collision:[-124. -119.  -78.], Reward Behavior:[ 27.  30.  20.   0.], Avg Loss:3.842695/100, Avg Q Value:0.603405/994 
2017-04-14 18:57:12,723 - root - INFO - Epoch:2, Episode:13, Steps Left:38607/5000/100000, Reward:-82.000000, fps:523.481720, Exploration:0.803764, Collision:[ -86. -108.  -88.], Reward Behavior:[ 23.  25.  45.   0.], Avg Loss:3.571342/100, Avg Q Value:0.640756/1036 
2017-04-14 18:57:22,276 - root - INFO - Epoch:2, Episode:14, Steps Left:33607/5000/100000, Reward:-96.000000, fps:523.456280, Exploration:0.799264, Collision:[-104. -107.  -72.], Reward Behavior:[ 26.  35.  30.   0.], Avg Loss:4.279218/100, Avg Q Value:0.667734/1021 
2017-04-14 18:57:28,125 - root - INFO - Epoch:2, Episode:15, Steps Left:30562/3045/100000, Reward:-19.000000, fps:520.640630, Exploration:0.796523, Collision:[-68. -42. -48.], Reward Behavior:[ 17.  17.  29.   0.], Avg Loss:4.072837/61, Avg Q Value:0.725463/622 
2017-04-14 18:57:37,798 - root - INFO - Epoch:2, Episode:16, Steps Left:25562/5000/100000, Reward:-127.000000, fps:516.923392, Exploration:0.792023, Collision:[-114. -119.  -74.], Reward Behavior:[ 29.  37.  22.   0.], Avg Loss:3.334320/100, Avg Q Value:0.717717/1004 
2017-04-14 18:57:47,359 - root - INFO - Epoch:2, Episode:17, Steps Left:20562/5000/100000, Reward:-107.000000, fps:522.964416, Exploration:0.787523, Collision:[-105. -105.  -73.], Reward Behavior:[ 33.  23.  24.   0.], Avg Loss:3.930985/100, Avg Q Value:0.709337/1097 
2017-04-14 18:57:57,265 - root - INFO - Epoch:2, Episode:18, Steps Left:15562/5000/100000, Reward:-112.000000, fps:504.775025, Exploration:0.783023, Collision:[-111. -113.  -90.], Reward Behavior:[ 23.  24.  43.   0.], Avg Loss:3.778779/100, Avg Q Value:0.668610/1020 
2017-04-14 18:57:59,376 - root - INFO - Epoch:2, Episode:19, Steps Left:14545/1017/100000, Reward:-16.000000, fps:481.977965, Exploration:0.782106, Collision:[-23. -15. -16.], Reward Behavior:[  3.   6.  10.   0.], Avg Loss:4.070726/20, Avg Q Value:0.707163/246 
2017-04-14 18:58:09,071 - root - INFO - Epoch:2, Episode:20, Steps Left:9545/5000/100000, Reward:-92.000000, fps:515.726933, Exploration:0.777606, Collision:[ -95. -102.  -79.], Reward Behavior:[ 31.  29.  29.   0.], Avg Loss:3.626732/100, Avg Q Value:0.650713/1097 
2017-04-14 18:58:19,114 - root - INFO - Epoch:2, Episode:21, Steps Left:4545/5000/100000, Reward:-48.000000, fps:497.922718, Exploration:0.773106, Collision:[ -92. -104.  -86.], Reward Behavior:[ 36.  34.  39.   0.], Avg Loss:3.763949/100, Avg Q Value:0.734642/1156 
2017-04-14 18:58:28,934 - root - INFO - Epoch:2, Episode:22, Steps Left:-455/5000/100000, Reward:-49.000000, fps:509.155887, Exploration:0.768606, Collision:[-83. -97. -65.], Reward Behavior:[ 28.  35.  27.   0.], Avg Loss:3.816870/100, Avg Q Value:0.693827/1153 
2017-04-14 18:58:28,937 - root - INFO - Epoch:2, FPS:519.962953, Avg Reward: -87.636364/22
2017-04-14 18:58:38,716 - root - INFO - Epoch:3, Episode:1, Steps Left:95000/5000/100000, Reward:-170.000000, fps:511.295857, Exploration:0.764106, Collision:[-113. -115.  -89.], Reward Behavior:[ 24.  24.  23.   0.], Avg Loss:3.886455/100, Avg Q Value:0.680961/1227 
2017-04-14 18:58:48,500 - root - INFO - Epoch:3, Episode:2, Steps Left:90000/5000/100000, Reward:-109.000000, fps:511.103572, Exploration:0.759606, Collision:[-114. -113.  -70.], Reward Behavior:[ 25.  37.  29.   0.], Avg Loss:3.968017/100, Avg Q Value:0.719031/1147 
2017-04-14 18:58:51,621 - root - INFO - Epoch:3, Episode:3, Steps Left:88418/1582/100000, Reward:-19.000000, fps:506.930555, Exploration:0.758182, Collision:[-36. -35. -21.], Reward Behavior:[ 10.  15.  10.   0.], Avg Loss:3.931223/32, Avg Q Value:0.706670/393 
2017-04-14 18:58:58,644 - root - INFO - Epoch:3, Episode:4, Steps Left:84803/3615/100000, Reward:-60.000000, fps:514.786120, Exploration:0.754927, Collision:[-71. -71. -56.], Reward Behavior:[ 10.  32.  25.   0.], Avg Loss:3.758624/72, Avg Q Value:0.704165/915 
2017-04-14 18:59:03,042 - root - INFO - Epoch:3, Episode:5, Steps Left:82587/2216/100000, Reward:-3.000000, fps:503.891753, Exploration:0.752932, Collision:[-45. -38. -23.], Reward Behavior:[ 16.  15.  17.   0.], Avg Loss:3.668969/45, Avg Q Value:0.818856/560 
2017-04-14 18:59:13,350 - root - INFO - Epoch:3, Episode:6, Steps Left:77587/5000/100000, Reward:-94.000000, fps:485.077702, Exploration:0.748432, Collision:[-110. -103.  -67.], Reward Behavior:[ 18.  35.  37.   0.], Avg Loss:4.001378/100, Avg Q Value:0.791348/1257 
2017-04-14 18:59:23,322 - root - INFO - Epoch:3, Episode:7, Steps Left:72587/5000/100000, Reward:-86.000000, fps:501.423994, Exploration:0.743932, Collision:[ -99. -120.  -75.], Reward Behavior:[ 34.  35.  26.   0.], Avg Loss:3.803157/100, Avg Q Value:0.795285/1235 
