2017-04-16 12:39:16,748 - root - INFO - Nework Params: 
2017-04-16 12:39:16,748 - root - INFO -    fc2_weight: <NDArray 64x128 @gpu(0)>
2017-04-16 12:39:16,748 - root - INFO -    qvalue_weight: <NDArray 4x64 @gpu(0)>
2017-04-16 12:39:16,748 - root - INFO -    fc1_weight: <NDArray 128x74 @gpu(0)>
2017-04-16 12:39:16,748 - root - INFO -    fc2_bias: <NDArray 64 @gpu(0)>
2017-04-16 12:39:16,748 - root - INFO -    fc1_bias: <NDArray 128 @gpu(0)>
2017-04-16 12:39:16,748 - root - INFO -    qvalue_bias: <NDArray 4 @gpu(0)>
2017-04-16 12:39:16,748 - root - INFO - Optimizer Params: <class 'mxnet.optimizer.Adam'>
2017-04-16 12:39:16,748 - root - INFO -    epsilon: 1e-08
2017-04-16 12:39:16,748 - root - INFO -    beta2: 0.999
2017-04-16 12:39:16,748 - root - INFO -    beta1: 0.9
2017-04-16 12:39:16,748 - root - INFO -    rescale_grad: 0.03125
2017-04-16 12:39:16,748 - root - INFO -    wd: 0.0
2017-04-16 12:39:16,748 - root - INFO -    lr: 0.0002
2017-04-16 12:46:17,627 - root - INFO - Epoch:2, Episode:8, Steps Left:60000/5000/100000, Score:-96.000000, fps:471.307467, Exploration:0.829001, Collision:[-104. -103.  -75.], Reward Behavior:[ 20.  32.  37.], Avg Loss:1.833235/100, Avg Q Value:0.828003/881 
2017-04-16 12:46:28,052 - root - INFO - Epoch:2, Episode:9, Steps Left:55000/5000/100000, Score:-106.000000, fps:479.644007, Exploration:0.824501, Collision:[ -92. -100.  -91.], Reward Behavior:[ 16.  23.  42.], Avg Loss:1.772656/100, Avg Q Value:0.850079/847 
2017-04-16 12:46:38,420 - root - INFO - Epoch:2, Episode:10, Steps Left:50000/5000/100000, Score:-121.000000, fps:482.251366, Exploration:0.820001, Collision:[-126. -102. -100.], Reward Behavior:[ 34.  28.  38.], Avg Loss:1.879284/100, Avg Q Value:0.866639/891 
2017-04-16 12:46:48,542 - root - INFO - Epoch:2, Episode:11, Steps Left:45000/5000/100000, Score:-135.000000, fps:493.999146, Exploration:0.815501, Collision:[-104. -103. -102.], Reward Behavior:[ 31.  31.  20.], Avg Loss:1.797729/100, Avg Q Value:0.867318/912 
2017-04-16 12:46:58,807 - root - INFO - Epoch:2, Episode:12, Steps Left:40000/5000/100000, Score:-132.000000, fps:487.120725, Exploration:0.811001, Collision:[-117. -103.  -92.], Reward Behavior:[ 32.  25.  28.], Avg Loss:2.009764/100, Avg Q Value:0.887121/894 
2017-04-16 12:47:09,028 - root - INFO - Epoch:2, Episode:13, Steps Left:35000/5000/100000, Score:-108.000000, fps:489.236983, Exploration:0.806501, Collision:[-104. -112.  -76.], Reward Behavior:[ 27.  18.  43.], Avg Loss:2.014368/100, Avg Q Value:0.947147/946 
2017-04-16 12:47:19,334 - root - INFO - Epoch:2, Episode:14, Steps Left:30000/5000/100000, Score:-94.000000, fps:485.177255, Exploration:0.802001, Collision:[-105. -105.  -81.], Reward Behavior:[ 29.  25.  38.], Avg Loss:1.912159/100, Avg Q Value:0.956359/994 
2017-04-16 12:47:29,649 - root - INFO - Epoch:2, Episode:15, Steps Left:25000/5000/100000, Score:-45.000000, fps:484.721247, Exploration:0.797501, Collision:[-108.  -90.  -68.], Reward Behavior:[ 23.  47.  36.], Avg Loss:1.837061/100, Avg Q Value:1.069448/1034 
2017-04-16 12:47:40,305 - root - INFO - Epoch:2, Episode:16, Steps Left:20000/5000/100000, Score:-43.000000, fps:469.261536, Exploration:0.793001, Collision:[-103. -116.  -61.], Reward Behavior:[ 22.  43.  44.], Avg Loss:1.853449/100, Avg Q Value:1.054934/1027 
2017-04-16 12:47:50,893 - root - INFO - Epoch:2, Episode:17, Steps Left:15000/5000/100000, Score:-71.000000, fps:472.262064, Exploration:0.788501, Collision:[-118. -100.  -88.], Reward Behavior:[ 33.  36.  41.], Avg Loss:2.001756/100, Avg Q Value:1.058455/1044 
2017-04-16 12:48:01,664 - root - INFO - Epoch:2, Episode:18, Steps Left:10000/5000/100000, Score:-149.000000, fps:464.201050, Exploration:0.784001, Collision:[ -86. -115.  -97.], Reward Behavior:[ 35.  17.  20.], Avg Loss:1.715698/100, Avg Q Value:0.953432/1048 
2017-04-16 12:48:12,194 - root - INFO - Epoch:2, Episode:19, Steps Left:5000/5000/100000, Score:-103.000000, fps:474.876345, Exploration:0.779501, Collision:[-115.  -95.  -66.], Reward Behavior:[ 20.  31.  31.], Avg Loss:1.787435/100, Avg Q Value:1.068888/1094 
2017-04-16 12:48:22,651 - root - INFO - Epoch:2, Episode:20, Steps Left:0/5000/100000, Score:-103.000000, fps:478.161647, Exploration:0.775001, Collision:[-111. -106.  -79.], Reward Behavior:[ 29.  29.  31.], Avg Loss:2.102867/100, Avg Q Value:1.098198/1125 
2017-04-16 12:48:22,652 - root - INFO - Epoch:2, FPS:477.494671, Avg Reward: -103.600000/20
2017-04-16 12:48:32,956 - root - INFO - Epoch:3, Episode:1, Steps Left:95000/5000/100000, Score:-63.000000, fps:485.282508, Exploration:0.770501, Collision:[-99. -97. -64.], Reward Behavior:[ 32.  24.  37.], Avg Loss:1.827416/100, Avg Q Value:1.161523/1149 
2017-04-16 12:48:43,296 - root - INFO - Epoch:3, Episode:2, Steps Left:90000/5000/100000, Score:-76.000000, fps:483.595662, Exploration:0.766001, Collision:[-105. -107.  -79.], Reward Behavior:[ 33.  33.  34.], Avg Loss:2.063445/100, Avg Q Value:1.173690/1178 
2017-04-16 12:48:53,569 - root - INFO - Epoch:3, Episode:3, Steps Left:85000/5000/100000, Score:-133.000000, fps:486.745005, Exploration:0.761501, Collision:[ -99. -113.  -73.], Reward Behavior:[ 25.  16.  32.], Avg Loss:1.903058/100, Avg Q Value:1.204324/1191 
2017-04-16 12:49:04,397 - root - INFO - Epoch:3, Episode:4, Steps Left:80000/5000/100000, Score:-74.000000, fps:461.773547, Exploration:0.757001, Collision:[ -90. -109.  -74.], Reward Behavior:[ 28.  26.  44.], Avg Loss:1.933646/100, Avg Q Value:1.226716/1177 
2017-04-16 12:49:14,993 - root - INFO - Epoch:3, Episode:5, Steps Left:75000/5000/100000, Score:-41.000000, fps:471.884825, Exploration:0.752501, Collision:[ -88. -113.  -78.], Reward Behavior:[ 32.  23.  53.], Avg Loss:1.750230/100, Avg Q Value:1.341747/1220 
2017-04-16 12:49:25,664 - root - INFO - Epoch:3, Episode:6, Steps Left:70000/5000/100000, Score:-115.000000, fps:468.584638, Exploration:0.748001, Collision:[ -97. -103.  -96.], Reward Behavior:[ 24.  28.  36.], Avg Loss:1.773927/100, Avg Q Value:1.287473/1261 
2017-04-16 12:49:36,033 - root - INFO - Epoch:3, Episode:7, Steps Left:65000/5000/100000, Score:-92.000000, fps:482.221271, Exploration:0.743501, Collision:[-107.  -96.  -86.], Reward Behavior:[ 40.  24.  28.], Avg Loss:2.004019/100, Avg Q Value:1.241578/1187 
2017-04-16 12:49:46,521 - root - INFO - Epoch:3, Episode:8, Steps Left:60000/5000/100000, Score:-96.000000, fps:476.762318, Exploration:0.739001, Collision:[-102.  -98.  -65.], Reward Behavior:[ 34.  29.  19.], Avg Loss:1.981682/100, Avg Q Value:1.249798/1272 
2017-04-16 12:49:56,963 - root - INFO - Epoch:3, Episode:9, Steps Left:55000/5000/100000, Score:-29.000000, fps:478.880361, Exploration:0.734501, Collision:[-93. -81. -79.], Reward Behavior:[ 31.  33.  38.], Avg Loss:1.770264/100, Avg Q Value:1.352239/1343 
